,Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
510,Lavenderdalat Gardens,Số 50 trong 56 hoạt động giải trí tại Đà Lạt,Vườn,,,23,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d14801804-Reviews-Lavenderdalat_Gardens-Da_Lat_Lam_Dong_Province.html,3,5,2,1,0,0,2,04/21/2022,Lâm Đồng
515,Namsilk,Số 11 trên 14 Mua sắm ở Đà Lạt,Cửa hàng đặc sản & cửa hàng quà tặng,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d4211302-Reviews-Namsilk-Da_Lat_Lam_Dong_Province.html,3.5,5,1,2,1,0,1,04/21/2022,Lâm Đồng
1217,Pompeii Bar & Billiards,Số 1 trên 1 Giải trí về đêm ở Lâm Đồng,Quán bar & câu lạc bộ • Quầy bar dành cho người đồng tính • Quán cà phê • Câu lạc bộ khiêu vũ & vũ trường,Đang mở cửa,14:00 - 23:00,9,https://www.tripadvisor.com.vn/Attraction_Review-g298083-d11664673-Reviews-Pompeii_Bar_Billiards-Lam_Dong_Lam_Dong_Province.html,4,3,2,0,0,1,0,4/22/2022,Lâm Đồng
2938,B21Bar,Số 24 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,Đang đóng cửa,15:00 - 01:00,43,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8733488-Reviews-B21Bar-Da_Lat_Lam_Dong_Province.html,",2.1,33,6,5,9,1,12,4/21/2022,Lâm Đồng
2939,V'Club,Số 25 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ • Câu lạc bộ khiêu vũ & vũ trường,,,2,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8179801-Reviews-V_Club-Da_Lat_Lam_Dong_Province.html,",1.5,10,1,0,1,1,7,4/21/2022,Lâm Đồng
2940,Thác Cam Ly,Số 53 trong 56 hoạt động giải trí tại Đà Lạt,Thác nước,,,27,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8115642-Reviews-Cam_Ly_Waterfall-Da_Lat_Lam_Dong_Province.html,",1.1,39,2,2,11,9,15,4/21/2022,Lâm Đồng
2941,Thung lũng vàng,Số 25 trong 56 hoạt động giải trí tại Đà Lạt,Thung lũng,,,52,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d7305747-Reviews-Golden_Valley-Da_Lat_Lam_Dong_Province.html,",3.1,59,27,20,10,2,0,4/21/2022,Lâm Đồng
2942,Dalat Cathedral,Số 23 trong 56 hoạt động giải trí tại Đà Lạt,Nhà thờ & nhà thờ lớn,,,162,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d7258249-Reviews-Dalat_Cathedral-Da_Lat_Lam_Dong_Province.html,",3.5,257,55,89,84,24,5,4/21/2022,Lâm Đồng
2943,Beepub,Số 3 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,,,18,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d6406996-Reviews-Beepub-Da_Lat_Lam_Dong_Province.html,",4.5,31,16,11,3,1,0,4/21/2022,Lâm Đồng
2944,Dalat Palace Golf Club,Số 32 trên 74 Hoạt động ngoài trời ở Đà Lạt,Sân gôn,,,48,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d456230-Reviews-Dalat_Palace_Golf_Club-Da_Lat_Lam_Dong_Province.html,",4.5,62,37,13,7,4,1,4/21/2022,Lâm Đồng
2945,Hang Nga Guest House and Art Gallery,Số 26 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh,,,74,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451015-Reviews-Hang_Nga_Guest_House_and_Art_Gallery-Da_Lat_Lam_Dong_Province.html,",4,87,41,24,18,2,2,4/21/2022,Lâm Đồng
2946,Ga Xe Lửa Đà Lạt,Số 18 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh • Tòa nhà kiến trúc,Đang mở cửa,07:00 - 17:00,1157,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451014-Reviews-Dalat_Railway_Station-Da_Lat_Lam_Dong_Province.html,",3.5,1425,311,516,444,107,47,4/21/2022,Lâm Đồng
2947,Thung Lũng Tình Yêu,Số 12 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh,Đang mở cửa,07:30 - 17:00,756,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451012-Reviews-Valley_of_Love-Da_Lat_Lam_Dong_Province.html,",4,447,152,146,93,28,28,4/21/2022,Lâm Đồng
2948,Central Highlands,Số 48 trong 56 hoạt động giải trí tại Đà Lạt,Rừng,,,14,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d379361-Reviews-Central_Highlands-Da_Lat_Lam_Dong_Province.html,",4.1,4,3,1,0,0,0,4/21/2022,Lâm Đồng
2949,Cánh Đồng Hoa Cẩm Tú Cầu,Số 31 trong 56 hoạt động giải trí tại Đà Lạt,Vườn,Đang mở cửa,06:00 - 18:00,41,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d14801793-Reviews-Garden_Hydrangeas-Da_Lat_Lam_Dong_Province.html,",3.1,25,10,10,4,1,0,4/21/2022,Lâm Đồng
2950,Làng Cù Lần,Số 39 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh,,,96,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d12666149-Reviews-Cu_Lan_Village-Da_Lat_Lam_Dong_Province.html,",3.5,31,8,11,6,2,4,4/21/2022,Lâm Đồng
2951,Đường Hầm Điêu Khắc,Số 30 trong 56 hoạt động giải trí tại Đà Lạt,Trung tâm du lịch,,,141,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d11611968-Reviews-Sculpture_Tunnel-Da_Lat_Lam_Dong_Province.html,",4,50,22,13,11,3,1,4/21/2022,Lâm Đồng
2952,Hồ Thuỷ Quái Đà Lạt,Số 47 trong 56 hoạt động giải trí tại Đà Lạt,Vùng nước,Đang mở cửa,07:30 - 18:00,8,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d11548258-Reviews-Monster_Lake_Da_Lat-Da_Lat_Lam_Dong_Province.html,",4.1,2,2,0,0,0,0,4/21/2022,Lâm Đồng
2953,Hành Trình Trên Cao,Số 24 trong 56 hoạt động giải trí tại Đà Lạt,Công viên • Rừng • Thung lũng,Đang mở cửa,07:00 - 17:00,74,"https://www.tripadvisor.com.vn/Attraction_Review-g293922-d10634733-Reviews-Datanla_High_Rope_Course-Da_Lat_Lam_Dong_Province.html,",4.5,53,44,3,3,0,3,4/21/2022,Lâm Đồng
2963,Linh Quy Phap An,Số 3 trong 6 hoạt động giải trí tại Bảo Lộc,Địa điểm tôn giáo,,,18,"https://www.tripadvisor.com.vn/Attraction_Review-g2062759-d13321807-Reviews-Linh_Quy_Phap_An-Bao_Loc_Lam_Dong_Province.html,",4,7,2,4,1,0,0,4/21/2022,Lâm Đồng
3258,Chùa Linh Ẩn (Linh Ẩn Tự),Số 1 trong 12 hoạt động giải trí tại Lâm Đồng,Điểm thu hút khách tham quan & thắng cảnh,,,52,https://www.tripadvisor.com.vn/Attraction_Review-g298083-d7333819-Reviews-Linh_An_Pagoda-Lam_Dong_Lam_Dong_Province.html,4.5,27,9,17,1,0,0,04/21/2022,Lâm Đồng
3920,Dinh 1 Đà Lạt,Số 27 trong 56 hoạt động giải trí tại Đà Lạt,Địa điểm lịch sử • Điểm thu hút khách tham quan & thắng cảnh • Tòa nhà kiến trúc,,,62,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8327329-Reviews-Dinh_1_Da_Lat-Da_Lat_Lam_Dong_Province.html,4.5,35,22,9,3,0,1,04/21/2022,Lâm Đồng
3921,Phòng Trà Lục Huyền Cầm,Số 2 trên 3 Nhà hát & hòa nhạc ở Đà Lạt,Quán cà phê • Nhà hát & biểu diễn,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8179992-Reviews-Phong_Tra_Luc_Huyen_Cam_V_Lounge-Da_Lat_Lam_Dong_Province.html,3.5,2,1,0,0,1,0,04/21/2022,Lâm Đồng
3922,Bảo tàng Lâm Đồng,Số 29 trong 56 hoạt động giải trí tại Đà Lạt,Viện bảo tàng nghệ thuật • Viện bảo tàng lịch sử,Đang mở cửa,"07:30 - 11:30, 13:30 - 16:30",38,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8042349-Reviews-Lam_Dong_Museum-Da_Lat_Lam_Dong_Province.html,4.5,42,22,15,4,0,1,04/21/2022,Lâm Đồng
3923,Domaine de Marie Church,Số 13 trong 56 hoạt động giải trí tại Đà Lạt,Nhà thờ & nhà thờ lớn,,,102,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d6983480-Reviews-Domaine_de_Marie_Church-Da_Lat_Lam_Dong_Province.html,4,124,57,44,19,3,1,04/21/2022,Lâm Đồng
3924,IC Dalat Company,Số 19 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d6891703-Reviews-IC_Dalat_Company-Da_Lat_Lam_Dong_Province.html,5,1,1,0,0,0,0,04/21/2022,Lâm Đồng
3925,Xuan Huong Lake,Số 8 trong 56 hoạt động giải trí tại Đà Lạt,Vùng nước,,,427,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451022-Reviews-Xuan_Huong_Lake-Da_Lat_Lam_Dong_Province.html,4,503,164,231,88,15,5,04/21/2022,Lâm Đồng
3926,Thiền Viện Trúc Lâm,Số 2 trong 56 hoạt động giải trí tại Đà Lạt,Địa điểm tôn giáo,,,1199,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451021-Reviews-Thien_Vien_Truc_Lam-Da_Lat_Lam_Dong_Province.html,4.5,1004,574,323,93,10,4,04/21/2022,Lâm Đồng
3927,The French Quarter,Số 34 trong 56 hoạt động giải trí tại Đà Lạt,Khu lân cận,,,42,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451019-Reviews-The_French_Quarter-Da_Lat_Lam_Dong_Province.html,3.5,63,14,26,14,8,1,04/21/2022,Lâm Đồng
3928,Dalat Train Villa & Cafe,Số 4 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,Đang mở cửa,08:00 - 21:30,36,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d4501099-Reviews-Dalat_Train_Villa_Cafe-Da_Lat_Lam_Dong_Province.html,5,15,14,1,0,0,0,04/21/2022,Lâm Đồng
3929,Elephant Falls,Số 6 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh • Thác nước,,,1271,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d1990715-Reviews-Elephant_Falls-Da_Lat_Lam_Dong_Province.html,4,1821,759,683,288,73,18,04/21/2022,Lâm Đồng
3930,Mộc Spa,Số 9 trên 19 Spa & Sức khỏe ở Đà Lạt,Spa,,,10,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d19270574-Reviews-Moc_Spa-Da_Lat_Lam_Dong_Province.html,4.5,14,13,0,0,0,1,04/21/2022,Lâm Đồng
3931,Công viên hoa Đà Lạt,Số 10 trong 56 hoạt động giải trí tại Đà Lạt,Vườn,,,1690,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d1845666-Reviews-Dalat_Flower_Park-Da_Lat_Lam_Dong_Province.html,4,1189,404,417,270,66,32,04/21/2022,Lâm Đồng
3932,CoCo Cà Phê Quán,Số 8 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,,,16,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d18192815-Reviews-CoCo_Ca_Phe_Quan-Da_Lat_Lam_Dong_Province.html,5,6,6,0,0,0,0,04/21/2022,Lâm Đồng
3933,Shinie Jewelry & Accessories,Số 10 trên 14 Mua sắm ở Đà Lạt,Cửa hàng đặc sản & cửa hàng quà tặng,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d17450642-Reviews-Shinie_Jewelry_Accessories-Da_Lat_Lam_Dong_Province.html,5,1,1,0,0,0,0,04/21/2022,Lâm Đồng
3934,Đồi Chè Cầu Đất,Số 21 trong 56 hoạt động giải trí tại Đà Lạt,Nông trại,,,74,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d14155384-Reviews-Cau_Dat_Tea_Hill-Da_Lat_Lam_Dong_Province.html,5,29,24,5,0,0,0,04/21/2022,Lâm Đồng
3935,Minet Shisha,Số 34 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d12830019-Reviews-Minet_Shisha-Da_Lat_Lam_Dong_Province.html,,0,0,0,0,0,0,04/21/2022,Lâm Đồng
3936,Đà Lạt Thiên Nhiên,Số 9 trên 14 Mua sắm ở Đà Lạt,Cửa hàng đặc sản & cửa hàng quà tặng • Nông trại,Đang mở cửa,08:00 - 20:00,60,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d11880933-Reviews-DL_Nature_s-Da_Lat_Lam_Dong_Province.html,4,4,2,1,0,0,1,04/21/2022,Lâm Đồng
3948,Nha Tho Bao Loc,Số 4 trong 6 hoạt động giải trí tại Bảo Lộc,Nhà thờ & nhà thờ lớn,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g2062759-d8527862-Reviews-Nha_Tho_Bao_Loc-Bao_Loc_Lam_Dong_Province.html,4,7,2,3,2,0,0,04/21/2022,Lâm Đồng
3949,Tea Resort,Số 1 trên 1 Mua sắm ở Bảo Lộc,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,07:30 - 23:45,50,https://www.tripadvisor.com.vn/Attraction_Review-g2062759-d17547003-Reviews-Tea_Resort-Bao_Loc_Lam_Dong_Province.html,4.5,10,7,2,0,1,0,04/21/2022,Lâm Đồng
4243,Elon Farmstay,Số 11 trong 12 hoạt động giải trí tại Lâm Đồng,Nông trại,,,18,https://www.tripadvisor.com.vn/Attraction_Review-g298083-d17376128-Reviews-Elon_Farmstay-Lam_Dong_Lam_Dong_Province.html,,0,0,0,0,0,0,04/21/2022,Lâm Đồng
4936,Pirates Bar,Số 15 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ • Câu lạc bộ khiêu vũ & vũ trường,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8861054-Reviews-Pirates_Bar-Da_Lat_Lam_Dong_Province.html,5,4,3,1,0,0,0,04/23/2022,Lâm Đồng
4937,Thác Bảo Đại,Số 36 trong 56 hoạt động giải trí tại Đà Lạt,Khu vực tự nhiên & động vật hoang dã • Thác nước,,,13,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8765889-Reviews-Bao_Dai_Waterfall_Thac_Bao_Dai-Da_Lat_Lam_Dong_Province.html,4.5,14,8,6,0,0,0,04/23/2022,Lâm Đồng
4938,Park Prenn,Số 32 trong 56 hoạt động giải trí tại Đà Lạt,Công viên,,,418,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d7276777-Reviews-Park_Prenn-Da_Lat_Lam_Dong_Province.html,3.5,210,74,58,33,9,36,04/23/2022,Lâm Đồng
4939,Rosy Spa,Số 8 trên 19 Spa & Sức khỏe ở Đà Lạt,Spa,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d7043551-Reviews-Rosy_Spa-Da_Lat_Lam_Dong_Province.html,4.5,30,21,2,4,2,1,04/23/2022,Lâm Đồng
4940,Dalat Cultural Exchange Center,Số 46 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d6891964-Reviews-Dalat_Cultural_Exchange_Center-Da_Lat_Lam_Dong_Province.html,4.5,4,2,2,0,0,0,04/23/2022,Lâm Đồng
4941,The Hangout Bar,Số 22 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,Đang mở cửa,09:00 - 04:00,2,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d6663997-Reviews-The_Hangout_Bar-Da_Lat_Lam_Dong_Province.html,3,1,0,0,1,0,0,04/23/2022,Lâm Đồng
4942,Lake of Sighs (Ho Than Tho),Số 37 trong 56 hoạt động giải trí tại Đà Lạt,Vùng nước,,,67,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451016-Reviews-Lake_of_Sighs_Ho_Than_Tho-Da_Lat_Lam_Dong_Province.html,3.5,52,16,17,8,9,2,04/23/2022,Lâm Đồng
4943,Lam Ty Ni Pagoda,Số 38 trong 56 hoạt động giải trí tại Đà Lạt,Phòng trưng bày nghệ thuật • Địa điểm tôn giáo,,,25,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451010-Reviews-Lam_Ty_Ni_Pagoda-Da_Lat_Lam_Dong_Province.html,4,27,10,7,8,2,0,04/23/2022,Lâm Đồng
4944,Drift Bar,Số 16 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,Đang đóng cửa,17:00 - 23:30,5,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d21503763-Reviews-Drift_Bar-Da_Lat_Lam_Dong_Province.html,5,1,1,0,0,0,0,04/23/2022,Lâm Đồng
4945,An spa,Số 17 trên 19 Spa & Sức khỏe ở Đà Lạt,Spa,Đang mở cửa,09:00 - 21:00,6,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d21087905-Reviews-An_spa-Da_Lat_Lam_Dong_Province.html,5,2,2,0,0,0,0,04/23/2022,Lâm Đồng
4946,"Đà Lạt, Ngày Tháng Năm",Số 52 trong 56 hoạt động giải trí tại Đà Lạt,Rạp hát,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d19849866-Reviews-Da_Lat_Ngay_Thang_Nam-Da_Lat_Lam_Dong_Province.html,,0,0,0,0,0,0,04/23/2022,Lâm Đồng
4947,PetCorner,Số 4 trên 5 Vui chơi & Giải trí ở Đà Lạt,Trung tâm trò chơi & giải trí,Đang mở cửa,09:00 - 21:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d15576752-Reviews-PetCorner-Da_Lat_Lam_Dong_Province.html,,0,0,0,0,0,0,04/23/2022,Lâm Đồng
4948,SAM Tuyền Lâm Golf Club,Số 54 trên 74 Hoạt động ngoài trời ở Đà Lạt,Sân gôn,Đang mở cửa,08:00 - 16:00,28,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d14074713-Reviews-SAM_Tuyen_Lam_Golf_Club-Da_Lat_Lam_Dong_Province.html,3.5,8,5,0,0,0,3,04/23/2022,Lâm Đồng
4949,Secret - Coffee&Bar,Số 5 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,Đang mở cửa,09:00 - 00:00,48,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d12848346-Reviews-Secret_Bar_Coffee-Da_Lat_Lam_Dong_Province.html,5,14,13,1,0,0,0,04/23/2022,Lâm Đồng
4950,An Phu Travel,Số 9 trên 16 Phương tiện giao thông ở Đà Lạt,Dịch vụ xe buýt,,,17,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d11046417-Reviews-An_Phu_Travel-Da_Lat_Lam_Dong_Province.html,2,76,9,7,1,5,54,04/23/2022,Lâm Đồng
4992,Tuyệt Tình Cốc,Số 1 trong 1 hoạt động giải trí tại Lat,Vùng nước,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g15334653-d15149414-Reviews-Tuyet_Tinh_Coc-Lat_Lam_Dong_Province.html,3,1,0,0,1,0,0,04/23/2022,Lâm Đồng
5282,Dambri Waterfall,Số 3 trong 12 hoạt động giải trí tại Lâm Đồng,Thác nước,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g298083-d13567749-Reviews-Dambri_Waterfall-Lam_Dong_Lam_Dong_Province.html,5,2,2,0,0,0,0,04/23/2022,Lâm Đồng
5283,Trại dế Thiện An,Số 6 trong 12 hoạt động giải trí tại Lâm Đồng,Nông trại,,,43,https://www.tripadvisor.com.vn/Attraction_Review-g298083-d10000828-Reviews-Thien_An_Cricket_Farm-Lam_Dong_Lam_Dong_Province.html,3,14,1,5,5,0,3,04/23/2022,Lâm Đồng
5935,Cung Điện Vua I Đà Lạt,Số 20 trong 56 hoạt động giải trí tại Đà Lạt,Viện bảo tàng lịch sử,,,129,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d8327098-Reviews-Da_Lat_King_Palace_I-Da_Lat_Lam_Dong_Province.html,4.5,66,26,31,9,0,0,4/21/2022,Lâm Đồng
5936,Statue Of Golden Buddha,Số 4 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh • Đài kỷ niệm & tượng,,,383,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d6960949-Reviews-Statue_Of_Golden_Buddha-Da_Lat_Lam_Dong_Province.html,4,230,102,88,36,3,1,4/21/2022,Lâm Đồng
5937,Mong Mo Hill,Số 33 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh,,,67,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d6491660-Reviews-Mong_Mo_Hill-Da_Lat_Lam_Dong_Province.html,4.5,23,13,6,3,0,1,4/21/2022,Lâm Đồng
5938,Thiên Vương cổ sát,Số 9 trong 56 hoạt động giải trí tại Đà Lạt,Địa điểm tôn giáo,,,222,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451020-Reviews-Thien_Vuong_Co_Sat_Pagoda-Da_Lat_Lam_Dong_Province.html,4.5,148,95,38,12,3,0,4/21/2022,Lâm Đồng
5939,Prenn Falls,Số 44 trong 56 hoạt động giải trí tại Đà Lạt,Thác nước,,,473,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451011-Reviews-Prenn_Falls-Da_Lat_Lam_Dong_Province.html,3,320,73,79,69,33,66,4/21/2022,Lâm Đồng
5940,Dalat Market,Số 11 trong 56 hoạt động giải trí tại Đà Lạt,Chợ trời & chợ đường phố,,,518,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451009-Reviews-Dalat_Market-Da_Lat_Lam_Dong_Province.html,4,414,127,196,67,13,11,4/21/2022,Lâm Đồng
5941,Namsilk,Số 11 trên 14 Mua sắm ở Đà Lạt,Cửa hàng đặc sản & cửa hàng quà tặng,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d4211302-Reviews-Namsilk-Da_Lat_Lam_Dong_Province.html,3.5,5,1,2,1,0,1,4/21/2022,Lâm Đồng
5942,Thác Datanla,Số 3 trong 56 hoạt động giải trí tại Đà Lạt,Thác nước,,,1324,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d2448851-Reviews-Datanla_Falls-Da_Lat_Lam_Dong_Province.html,4,1447,594,555,223,43,32,4/21/2022,Lâm Đồng
5943,Clover - Spa Da Lat,Số 5 trên 19 Spa & Sức khỏe ở Đà Lạt,Spa • Spa nước nóng,Đang mở cửa,09:00 - 22:00,50,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d23371700-Reviews-Clover_Spa_Da_Lat-Da_Lat_Lam_Dong_Province.html,5,16,16,0,0,0,0,4/21/2022,Lâm Đồng
5944,The Balcony Speakeasy Bar,Số 7 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,Đang đóng cửa,19:00 - 00:00,8,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d19254835-Reviews-The_Balcony_Speakeasy_Bar-Da_Lat_Lam_Dong_Province.html,5,6,6,0,0,0,0,4/21/2022,Lâm Đồng
5945,Elo Pub,Số 20 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d17602144-Reviews-Elo_Pub-Da_Lat_Lam_Dong_Province.html,4,1,0,1,0,0,0,4/21/2022,Lâm Đồng
